Energy_eV,Cd,Cl,S
-0.015000000000191527,7.404789507086855,8.029568230851623,10.33006863982626
-0.00500000000019174,7.5525234414900515,8.106289413883065,10.413726175584019
0.004999999999808047,7.826686965456218,8.32143089192164,10.67637377555237
0.014999999999807834,8.211227206010605,8.658728137585157,11.097031392310488
0.02499999999980762,8.682130538096729,9.093343076348186,11.643763231731619
0.03499999999980741,9.208871639119868,9.593439369368419,12.275693296330527
0.044999999999807194,9.75633619759039,10.122248005195619,12.945648311358227
0.05499999999980698,10.287091987314128,10.640486146749769,13.603252216239046
0.06499999999980677,10.763849813292392,11.108960317175958,14.19825577150873
0.07499999999980655,11.15193233973236,11.491163301793272,14.683857274469013
0.08499999999980634,11.421559351315006,11.755666697018961,15.019761080193474
0.09499999999980613,11.549765975325151,11.878121101339946,15.174733691949431
0.10499999999980592,11.521797285601409,11.842704910253584,15.12845436087785
0.1149999999998057,11.33186736763506,11.642909337313137,14.872516856301118
0.12499999999980549,10.98322934029652,11.281607575275476,14.410516143443113
0.13499999999980528,10.487568514804568,10.770423375427395,13.757239762892791
0.14499999999980506,9.863795784054679,10.128480627028734,12.937068370963997
0.15499999999980485,9.13637418634189,9.380672373589293,11.981762471881103
0.16499999999980464,8.33335125109839,8.555627894952904,10.927863651514425
0.17499999999980442,7.484288464963679,7.683575216944936,9.813962491965695
0.1849999999998042,6.618275399467601,6.794292092611752,8.678079781687794
0.194999999999804,5.7621914479839695,5.915312928904306,7.555374937382895
0.20499999999980378,4.939337352765473,5.070517057771923,6.476341786745413
0.21499999999980357,4.168508352609306,4.279171924780544,5.4655856505552105
0.22499999999980336,3.4635281995518286,3.555450720696908,4.541206623365326
0.23499999999980314,2.8332153622345215,2.9083947587239587,3.7147510822534198
0.24499999999980293,2.2817148489098056,2.342252022341996,2.9916438012800235
0.2549999999998027,1.8091045064798046,1.857098110068271,2.371980872221548
0.2649999999998025,1.412174315818291,1.449635230264847,1.851550137536087
0.2749999999998023,1.0852799330513985,1.1140677382731599,1.422949479466121
0.2849999999998021,0.821184775554251,0.8429661367673346,1.076690474238642
0.29499999999980187,0.6118247034009299,0.6280517637015045,0.8022008684277423
0.30499999999980165,0.44895202354006114,0.4608576915930613,0.5886691117915736
0.31499999999980144,0.32463779583955504,0.33324421953662975,0.42570339697985027
0.3249999999998012,0.23163071979526437,0.237767161586838,0.30380299846897485
0.334999999999801,0.1635856910911584,0.167912345248257,0.2146591558963611
0.3449999999998008,0.1151848589770569,0.11821973814753067,0.15131554980441114
0.3549999999998006,0.0821788868171989,0.08432562409680301,0.10822482732039845
0.3649999999998004,0.06137683630076707,0.06295198891258282,0.08123858609943169
0.37499999999980016,0.0506106260332293,0.05186974353136299,0.0675649744822596
0.38499999999979995,0.048695340827728736,0.04985761757985491,0.06572189326804329
0.39499999999979973,0.055400633092825266,0.056672368112443576,0.07550578535908457
0.4049999999997995,0.07144169536672737,0.07303901646356764,0.09798699380480284
0.4149999999997993,0.0984912234858151,0.10066259321247029,0.13553321445244232
0.4249999999997991,0.13920673024350264,0.1422556420974915,0.19185305774997713
0.4349999999997989,0.19726077909639628,0.20156878401025385,0.2720425318211062
0.44499999999979867,0.27735553889280223,0.2834053317316356,0.3826088563121741
0.45499999999979845,0.38519803485727644,0.3935958066570604,0.5314391425442161
0.46499999999979824,0.5274093114551959,0.5389049786367061,0.7276771400959816
0.47499999999979803,0.7113403152402147,0.7268436336917307,0.9814706871690988
0.4849999999997978,0.9447705770327341,0.9653606179490056,1.303557000506141
0.4949999999997976,1.2354734918670394,1.2623985949766696,1.7046635690424952
0.5049999999997974,1.5906445239247229,1.6253097571687118,2.1947196784310186
0.5149999999997972,2.0162057004840297,2.0601451414627485,2.781897078113272
0.524999999999797,2.5160201360302366,2.570852022189581,3.4715263991910428
0.5349999999997967,3.0910719290194306,3.1584359270199363,4.2649657208484335
0.5449999999997965,3.738686631303494,3.8201641130544757,5.158525070124936
0.5549999999997963,4.451882091687242,4.548902260368152,6.142570777910518
0.5649999999997961,5.2189452749492,5.332682066992933,7.200941610469286
0.5749999999997959,6.02332473149497,6.154591374293385,8.310800414961118
0.5849999999997957,6.843909126673511,6.993058765868714,9.443018431900343
0.5949999999997955,7.655729910309703,7.822571550220907,10.563144819908569
0.6049999999997953,8.431083308730809,8.614822204343985,11.632954747284828
0.614999999999795,9.141018006041996,9.340228476075957,12.612502050042687
0.6249999999997948,9.757086472308767,9.969722879007755,13.462535662200068
0.6349999999997946,10.253216999346959,10.476665525539602,14.147082595401454
0.6449999999997944,10.607536848054059,10.838707005993555,14.63596346450586
0.6549999999997942,10.80396962230515,11.039420573946904,14.906996498559234
0.664999999999794,10.833444550775589,11.06953778174581,14.947666074608899
0.6749999999997938,10.694590999529055,10.927658128379015,14.756080988739544
0.6849999999997936,10.393844150970956,10.620357041249129,14.341120272149613
0.6949999999997933,9.944950500493507,10.16168059587182,13.721750893347245
0.7049999999997931,9.36792609667082,9.572081052799172,12.925590371652131
0.7149999999997929,8.68757747965541,8.876905562680486,11.986866013889365
0.7249999999997927,7.9317374571329715,8.104593494403396,10.943980691466766
0.7349999999997925,7.129390036134577,7.2847605035374805,9.836925676994191
0.7449999999997923,6.308859037380042,6.446347671209559,8.704781347234357
0.7549999999997921,5.496214548625138,5.615993229403434,7.583518453080597
0.7649999999997918,4.714014732469644,4.816746949138194,6.5042621011446045
0.7749999999997916,3.9804538961378255,4.067199644304302,5.492116283312105
0.7849999999997914,3.3089382684401265,3.3810497037021783,4.565578544001745
0.7949999999997912,2.7080653252721536,2.767081966133361,3.736511451980542
0.804999999999791,2.1819460696253463,2.2294970239808167,3.010587271067153
0.8149999999997908,1.7307856748538797,1.768504520518867,2.3880891133133346
0.8249999999997906,1.3516273658596494,1.381083242546566,1.8649373235646092
0.8349999999997904,1.0391663246212843,1.0618127633700765,1.4338124820327516
0.8449999999997901,0.7865522122355864,0.8036934541878926,1.0852627006797002
0.8549999999997899,0.5861171825794234,0.5988903633143451,0.8087081154443829
0.8649999999997897,0.42998742395384226,0.4393580850982113,0.5932846740078748
0.8749999999997895,0.3105570967888326,0.317325026094826,0.42849806178684313
0.8849999999997893,0.22082160713288265,0.2256339415296963,0.30468354358677
0.8949999999997891,0.15458098787019028,0.15794974875400816,0.21328658365790967
