Energy_eV,Cd,Cl,Te
-8.995000000000001,3.277312590571743,9.913263487130394,11.887672390406925
-8.985,4.09093835186965,12.403012098775307,14.87007106103175
-8.975000000000001,5.046201337580835,15.336519700730992,18.383270452211256
-8.965,6.152606279095373,18.746924308176986,22.46687390804501
-8.955000000000002,7.417007893113637,22.65978968969622,27.15152346771699
-8.945,8.843018425151362,27.091127271533196,32.45658809787365
-8.935000000000002,10.43050594932558,32.04562002148251,38.38809759663112
-8.925,12.175210102076887,37.515133303378285,44.93701744210899
-8.915000000000003,14.068491148710834,43.47757283621199,52.07792826369441
-8.905000000000001,16.0972169499165,49.89612366542308,59.76814105326372
-8.895000000000003,18.243782771851148,56.71888239261456,67.94725319689026
-8.885000000000002,20.486253030364047,63.87888307710757,76.5371375057158
-8.875000000000004,22.798613336256906,71.29451840985625,85.44236063465627
-8.865000000000002,25.151125850625213,78.87037195463947,94.55104852081821
-8.855000000000004,27.510789860117,86.49850068643528,103.73624991817141
-8.845000000000002,29.841920252749183,94.0602324848465,112.85788549566264
-8.835000000000004,32.106865915896286,101.42856108638031,121.76539705669678
-8.825000000000003,34.26689441636582,108.47122126577906,130.30121637451185
-8.815000000000005,36.28326560238187,115.05450158965184,138.30514535784266
-8.805000000000003,38.11850323250293,121.04779697170883,145.61967332557018
-8.795000000000005,39.737850521552396,126.328820216759,152.09615485825148
-8.785000000000004,41.11086487344071,130.78928887783093,157.6016428195343
-8.775000000000006,42.213073274653055,134.34079482505524,162.02603273459354
-8.765000000000004,43.0275784165849,136.92046638346275,165.28904862793308
-8.755000000000006,43.54648254981751,138.49596495210494,167.3465096921714
-8.745000000000005,43.77198657460078,139.06933531062867,168.19528180398711
-8.735000000000007,43.717029399534745,138.67926133185279,167.8763510070384
-8.725000000000005,43.40535809551619,137.40136867352325,166.47556095496523
-8.715000000000007,42.87096095179036,135.34635665722934,164.1217253491333
-8.705000000000005,42.1568487192229,132.6559184517442,160.9820419394479
-8.695000000000007,41.31322771863281,129.49660159735254,157.2549716073634
-8.685000000000006,40.395164870072584,126.05194701998636,153.16097594665854
